"Lefse results for Biomarkers of End Member Brine and Non Outflow samples in the full sequence data set and prokaryote only data set at each taxonomic level."
,,,LefSe Results (All sequences),LefSe Results (All sequences),LefSe Results (All sequences),LefSe Results (All sequences),LefSe Results (All sequences),LefSe Results (All sequences),LefSe Results (All sequences),LefSe Results (All sequences),LefSe Results (Prokaryote sequences),LefSe Results (Prokaryote sequences),LefSe Results (Prokaryote sequences),LefSe Results (Prokaryote sequences),LefSe Results (Prokaryote sequences),LefSe Results (Prokaryote sequences),LefSe Results (Prokaryote sequences),LefSe Results (Prokaryote sequences),Geochemistry Correlations (Spearman's rho),Geochemistry Correlations (Spearman's rho),Geochemistry Correlations (Spearman's rho),Geochemistry Correlations (Spearman's rho),Geochemistry Correlations (Spearman's rho),Geochemistry Correlations (Spearman's rho),Geochemistry Correlations (Spearman's rho),Geochemistry Correlations (Spearman's rho),Geochemistry Correlations (Spearman's rho),Geochemistry Correlations (Spearman's rho)
,,,EMB,EMB,EMB,EMB,NOF,NOF,NOF,NOF,EMB,EMB,EMB,EMB,NOF,NOF,NOF,NOF,,,,,,,,,,
,DataSet,BiomarkerSampleType,LogMaxMean,LDA,pValue,MeanRelativeAbundance,LogMaxMean,LDA,pValue,MeanRelativeAbundance,LogMaxMean,LDA,pValue,MeanRelativeAbundance,LogMaxMean,LDA,pValue,MeanRelativeAbundance,pH,DIC (mM),DOC (uM),DIN (uM),SRP (uM),DO (uM),Na (mM),Ca (mM),SO4 (mM),Cl (mM)
Phylum,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atribacteria,Shared,EMB,4.72353,4.40361,0.00634972,5.29089719225656,NA,NA,NA,NA,4.7236400000000005,4.41374,0.00634972,5.292186200374616,NA,NA,NA,NA,-0.839*,0.867*,0.761*,0.496,-0.491,-0.775*,0.847**,0.808**,0.847**,0.821**
Bacteria_unclassified,Shared,EMB,4.33784,3.9777699999999996,0.0105152,2.1768838661326093,NA,NA,NA,NA,4.33795,3.9841300000000004,0.0105152,2.1774376985179336,NA,NA,NA,NA,-0.586,0.786*,0.714,0.600,-0.339,-0.703,0.794**,0.721*,0.818**,0.770*
DHVE6,Shared,EMB,4.56192,4.1945,0.00634972,3.6468293748492226,NA,NA,NA,NA,4.56205,4.23485,0.00634972,3.6479909525069387,NA,NA,NA,NA,-0.839*,0.788*,0.710,0.583,-0.609,-0.775*,0.808**,0.782**,0.808**,0.782**
Parcubacteria,Shared,EMB,4.1391599999999995,3.7627800000000002,0.0105152,1.377717532283461,NA,NA,NA,NA,4.13929,3.7204699999999997,0.0330063,1.378143934208445,NA,NA,NA,NA,-0.561,0.821*,0.738*,0.783*,-0.235,-0.595,0.608,0.571,0.571,0.663*
Tenericutes,Shared,EMB,4.08408,3.7108199999999996,0.0186554,1.2136026366689636,NA,NA,NA,NA,4.08418,3.72919,0.0186554,1.2138820034474016,NA,NA,NA,NA,-0.741*,0.685,0.647,0.628,-0.559,-0.745,0.835**,0.793**,0.872**,0.793**
Chlorophyta_ph,All only,NOF,NA,NA,NA,NA,3.7207199999999996,3.36701,0.00959773,0.5256828603308993,NA,NA,NA,NA,NA,NA,NA,NA,0.778*,-0.691,-0.712,-0.604,0.173,0.752,-0.659*,-0.683*,-0.843**,-0.622
Chloroplast_ph,All only,NOF,NA,NA,NA,NA,5.63739,5.37394,0.00959773,43.38968502980458,NA,NA,NA,NA,NA,NA,NA,NA,0.736*,-0.883**,-0.854**,-0.373,0.345,0.664,-0.730*,-0.742*,-0.742*,-0.706*
Eukaryota_unclassified,All only,NOF,NA,NA,NA,NA,4.32224,4.01671,0.0229483,2.1000978416250615,NA,NA,NA,NA,NA,NA,NA,NA,0.675,-0.704,-0.761*,-0.347,0.515,0.860*,-0.601,-0.627,-0.705*,-0.524
Ochrophyta,All only,NOF,NA,NA,NA,NA,5.04352,4.6256699999999995,0.00829922,11.053893998787323,NA,NA,NA,NA,NA,NA,NA,NA,0.875**,-0.630,-0.710,-0.533,0.457,0.935**,-0.747*,-0.778**,-0.872**,-0.690*
Bacteroidetes,Prokaryotes only,NOF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.65951,5.1398,0.0105152,45.657631123571946,0.122,0.107,-0.024,0.450,0.183,-0.090,0.224,0.091,0.224,0.273
Cyanobacteria,Prokaryotes only,NOF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.1906,3.9207099999999997,0.0105152,1.5509505580815783,0.798*,-0.721,-0.587,-0.285,-0.066,0.345,-0.523,-0.596,-0.571,-0.565
Verrucomicrobia,Prokaryotes only,NOF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.9579,3.5952300000000004,0.0190165,0.9076117030772379,0.614,-0.414,-0.464,0.186,0.230,0.598,-0.288,-0.350,-0.472,-0.178
Class
Acidimicrobiia,Shared,EMB,4.8947,4.54416,0.0105152,7.846978080426181,NA,NA,NA,NA,4.894830000000001,4.5006900000000005,0.0105152,7.849217915825236,NA,NA,NA,NA,-0.586,0.893**,0.810*,0.517,-0.113,-0.595,0.794**,0.733*,0.709*,0.830**
